names,lat,lon,seed,plot,harv,unharv,pd1,pd2,pd3,pd4,pd5,fert
c9c92a3c,-16.42,26.78,65,3.25,1350,0,2015-11-15,2015-11-15,2015-12-01,,,
7488c9fb,-15.72,26.72,180,9,10000,1,2015-12-06,,,,,
a783633d,-16.49,26.95,40,1.9,1350,0,2015-11-15,2015-11-24,2015-12-06,2016-01-04,,2100
5bcee3b6,-15.73,26.73,15,1,600,0,2016-01-04,,,,,
465009f9,-16.74,27.23,0,0,0,0,,,,,,
f65e1ed7,-16.42,26.78,10,0.5,100,0,2016-01-04,2016-01-04,,,,
1240fb4f,-16.83,27.04,35,1.75,3250,0,2015-12-13,2015-11-15,2016-01-11,,,2100
acceb152,-17.16,27.14,40,2,4680,0,2016-01-04,2016-01-04,2016-01-04,2016-01-04,,
69203e00,-16.77,27.11,30,1.5,590,0,2015-12-01,2015-12-13,2015-12-24,,,2100
e08c1bec,-16.55,26.96,15,0.75,1200,1,2015-11-08,2015-12-13,,,,1600
cc8f3750,-15.72,26.72,200,10,3000,0,2015-12-01,,,,,
464c45a6,-16.92,27.12,15,0.75,900,0,2015-12-01,2016-01-04,,,,105
a6d55fa1,-16.84,26.81,30,1.5,3000,0,2015-11-15,,,,,
38cc9d2a,-16.03,26.93,100,4,800,0,2015-12-24,2015-11-02,,,,
648ae940,-16.03,26.93,20,1,700,0,2015-12-01,,,,,
abfb8c1e,-17.21,27.11,20,0.75,1250,0,2015-12-13,2015-12-06,,,,
23307ffb,-16.62,26.87,10,1,750,0,2015-11-24,,,,,2100
eb595975,-16.99,27.06,40,2,1250,0,2015-11-08,2015-12-06,,,,1620
82c11c7a,-16.42,26.8,30,1.5,900,0,2015-11-08,,,,,2100
e7452028,-16.76,27.3,30,0.75,1350,0,2015-11-15,2016-01-04,2016-01-11,,,2070
6e2b04bd,-17.15,27.15,40,2,200,0,2016-01-04,2015-11-08,2015-11-08,,,
e8a27018,-16.42,26.8,15,0.75,650,0,2015-12-01,2015-12-06,,,,
7605ad69,-16.25,26.7,50,2.5,500,0,2015-12-13,,,,,
fd42235a,-15.93,26.51,40,2,1200,0,2015-11-08,,,,,
4671abf6,-16.75,27.29,20,1,1250,0,2016-01-11,,,,,1450
28160d51,-16.72,26.86,50,2.5,8000,0,2015-12-01,2015-11-08,2015-12-13,2015-12-06,,2100
2034e7ec,-16.03,26.93,30,1.5,3400,0,2015-12-01,2015-12-24,,,,
