podid,lat,lon,date,rain
B00013,-16.24759,26.9109,2016-11-16,0
B00013,-16.24759,26.9109,2016-11-17,0
B00013,-16.24759,26.9109,2016-11-18,0
B00013,-16.24759,26.9109,2016-11-19,0.762
B00013,-16.24759,26.9109,2016-11-20,0
B00013,-16.24759,26.9109,2016-11-21,3.302
B00013,-16.24759,26.9109,2016-11-22,0
B00013,-16.24759,26.9109,2016-11-23,2.54
B00013,-16.24759,26.9109,2016-11-24,5.334
B00013,-16.24759,26.9109,2016-11-25,4.572
B00013,-16.24759,26.9109,2016-11-26,118.364
B00013,-16.24759,26.9109,2016-11-27,1.016
B00013,-16.24759,26.9109,2016-11-28,0
B00013,-16.24759,26.9109,2016-11-29,0
B00013,-16.24759,26.9109,2016-11-30,5.588
B00013,-16.24759,26.9109,2016-12-01,0
B00013,-16.24759,26.9109,2016-12-02,0
B00013,-16.24759,26.9109,2016-12-03,11.176
B00013,-16.24759,26.9109,2016-12-04,0.254
B00013,-16.24759,26.9109,2016-12-05,1.016
B00013,-16.24759,26.9109,2016-12-06,0
B00013,-16.24759,26.9109,2016-12-07,0
B00013,-16.24759,26.9109,2016-12-08,0
B00013,-16.24759,26.9109,2016-12-09,0.254
B00013,-16.24759,26.9109,2016-12-10,0
B00013,-16.24759,26.9109,2016-12-11,18.034
B00013,-16.24759,26.9109,2016-12-12,67.056
B00013,-16.24759,26.9109,2016-12-13,10.16
B00013,-16.24759,26.9109,2016-12-14,45.212
B00013,-16.24759,26.9109,2016-12-15,0
B00013,-16.24759,26.9109,2016-12-16,0
B00013,-16.24759,26.9109,2016-12-17,5.842
B00013,-16.24759,26.9109,2016-12-18,2.032
B00013,-16.24759,26.9109,2016-12-19,6.604
B00013,-16.24759,26.9109,2016-12-20,0
B00013,-16.24759,26.9109,2016-12-21,0
B00013,-16.24759,26.9109,2016-12-22,2.286
B00013,-16.24759,26.9109,2016-12-23,0
B00013,-16.24759,26.9109,2016-12-24,0
B00013,-16.24759,26.9109,2016-12-25,0
B00013,-16.24759,26.9109,2016-12-26,2.032
B00013,-16.24759,26.9109,2016-12-27,0
B00013,-16.24759,26.9109,2016-12-28,0
B00013,-16.24759,26.9109,2016-12-29,7.112
B00013,-16.24759,26.9109,2016-12-30,0.254
B00013,-16.24759,26.9109,2016-12-31,0.762
B00013,-16.24759,26.9109,2017-01-01,13.97
B00013,-16.24759,26.9109,2017-01-02,17.272
B00013,-16.24759,26.9109,2017-01-03,25.4
B00013,-16.24759,26.9109,2017-01-04,34.036
B00013,-16.24759,26.9109,2017-01-05,3.81
B00013,-16.24759,26.9109,2017-01-06,0.254
B00013,-16.24759,26.9109,2017-01-07,0
B00013,-16.24759,26.9109,2017-01-08,0
B00013,-16.24759,26.9109,2017-01-09,19.304
B00013,-16.24759,26.9109,2017-01-10,30.226
B00013,-16.24759,26.9109,2017-01-11,0.254
B00013,-16.24759,26.9109,2017-01-12,14.478
B00013,-16.24759,26.9109,2017-01-13,20.32
B00013,-16.24759,26.9109,2017-01-14,0.254
B00013,-16.24759,26.9109,2017-01-15,4.826
B00013,-16.24759,26.9109,2017-01-16,38.354
B00013,-16.24759,26.9109,2017-01-17,12.192
B00013,-16.24759,26.9109,2017-01-18,4.826
B00013,-16.24759,26.9109,2017-01-19,3.81
B00013,-16.24759,26.9109,2017-01-20,8.128
B00013,-16.24759,26.9109,2017-01-21,41.402
B00013,-16.24759,26.9109,2017-01-22,11.176
B00013,-16.24759,26.9109,2017-01-23,19.558
B00013,-16.24759,26.9109,2017-01-24,0
B00013,-16.24759,26.9109,2017-01-25,0.508
B00013,-16.24759,26.9109,2017-01-26,0.762
B00013,-16.24759,26.9109,2017-01-27,14.986
B00013,-16.24759,26.9109,2017-01-28,4.064
B00013,-16.24759,26.9109,2017-01-29,4.572
B00013,-16.24759,26.9109,2017-01-30,7.366
B00013,-16.24759,26.9109,2017-01-31,0
B00013,-16.24759,26.9109,2017-02-01,8.128
B00013,-16.24759,26.9109,2017-02-02,2.032
B00013,-16.24759,26.9109,2017-02-03,9.906
B00013,-16.24759,26.9109,2017-02-04,54.864
B00013,-16.24759,26.9109,2017-02-05,3.302
B00013,-16.24759,26.9109,2017-02-06,23.114
B00013,-16.24759,26.9109,2017-02-07,0
B00013,-16.24759,26.9109,2017-02-08,0
B00013,-16.24759,26.9109,2017-02-09,22.098
B00013,-16.24759,26.9109,2017-02-10,0.508
B00013,-16.24759,26.9109,2017-02-11,0
B00013,-16.24759,26.9109,2017-02-12,0
B00013,-16.24759,26.9109,2017-02-13,0
B00013,-16.24759,26.9109,2017-02-14,2.794
B00013,-16.24759,26.9109,2017-02-15,16.764
B00013,-16.24759,26.9109,2017-02-16,3.302
B00013,-16.24759,26.9109,2017-02-17,0.254
B00013,-16.24759,26.9109,2017-02-18,3.302
B00013,-16.24759,26.9109,2017-02-19,0
B00013,-16.24759,26.9109,2017-02-20,3.302
B00013,-16.24759,26.9109,2017-02-21,3.048
B00013,-16.24759,26.9109,2017-02-22,2.286
B00013,-16.24759,26.9109,2017-02-23,49.784
B00013,-16.24759,26.9109,2017-02-24,2.794
B00013,-16.24759,26.9109,2017-02-25,1.778
B00013,-16.24759,26.9109,2017-02-26,3.048
B00013,-16.24759,26.9109,2017-02-27,1.778
B00013,-16.24759,26.9109,2017-02-28,3.048
B00013,-16.24759,26.9109,2017-03-01,6.858
B00013,-16.24759,26.9109,2017-03-02,8.128
B00013,-16.24759,26.9109,2017-03-03,8.89
B00013,-16.24759,26.9109,2017-03-04,9.906
B00013,-16.24759,26.9109,2017-03-05,5.842
B00013,-16.24759,26.9109,2017-03-06,12.954
B00013,-16.24759,26.9109,2017-03-07,6.604
B00013,-16.24759,26.9109,2017-03-08,0.254
B00013,-16.24759,26.9109,2017-03-09,6.35
B00013,-16.24759,26.9109,2017-03-10,0.508
B00013,-16.24759,26.9109,2017-03-11,1.27
B00013,-16.24759,26.9109,2017-03-12,0
B00013,-16.24759,26.9109,2017-03-13,1.27
B00013,-16.24759,26.9109,2017-03-14,0.254
B00013,-16.24759,26.9109,2017-03-15,0
B00013,-16.24759,26.9109,2017-03-16,0
B00013,-16.24759,26.9109,2017-03-17,0.254
B00013,-16.24759,26.9109,2017-03-18,0
B00013,-16.24759,26.9109,2017-03-19,0.762
B00013,-16.24759,26.9109,2017-03-20,8.382
B00013,-16.24759,26.9109,2017-03-21,0
B00013,-16.24759,26.9109,2017-03-22,0
B00013,-16.24759,26.9109,2017-03-23,0
B00013,-16.24759,26.9109,2017-03-24,1.016
B00013,-16.24759,26.9109,2017-03-25,0.762
B00013,-16.24759,26.9109,2017-03-26,1.016
B00013,-16.24759,26.9109,2017-03-27,0
B00013,-16.24759,26.9109,2017-03-28,0
B00013,-16.24759,26.9109,2017-03-29,0
B00013,-16.24759,26.9109,2017-03-30,0
B00013,-16.24759,26.9109,2017-03-31,0
B00013,-16.24759,26.9109,2017-04-01,0
B00013,-16.24759,26.9109,2017-04-02,26.924
B00013,-16.24759,26.9109,2017-04-03,0
B00013,-16.24759,26.9109,2017-04-04,0
B00013,-16.24759,26.9109,2017-04-05,0
B00013,-16.24759,26.9109,2017-04-06,0
B00013,-16.24759,26.9109,2017-04-07,0
B00013,-16.24759,26.9109,2017-04-08,0
B00013,-16.24759,26.9109,2017-04-09,0
B00013,-16.24759,26.9109,2017-04-10,0
B00013,-16.24759,26.9109,2017-04-11,0
B00013,-16.24759,26.9109,2017-04-12,0
B00013,-16.24759,26.9109,2017-04-13,0
B00013,-16.24759,26.9109,2017-04-14,0
B00013,-16.24759,26.9109,2017-04-15,0
B00013,-16.24759,26.9109,2017-04-16,0
B00013,-16.24759,26.9109,2017-04-17,0
B00013,-16.24759,26.9109,2017-04-18,0
B00013,-16.24759,26.9109,2017-04-19,0
B00013,-16.24759,26.9109,2017-04-20,0
B00013,-16.24759,26.9109,2017-04-21,0
B00013,-16.24759,26.9109,2017-04-22,0
B00013,-16.24759,26.9109,2017-04-23,0
B00013,-16.24759,26.9109,2017-04-24,0
B00013,-16.24759,26.9109,2017-04-25,0
B00013,-16.24759,26.9109,2017-04-26,0
B00013,-16.24759,26.9109,2017-04-27,0
B00013,-16.24759,26.9109,2017-04-28,0
B00013,-16.24759,26.9109,2017-04-29,0
B00013,-16.24759,26.9109,2017-04-30,0
B00013,-16.24759,26.9109,2017-05-01,0
B00021,-16.25561,26.89594,2016-10-12,0
B00021,-16.25561,26.89594,2016-10-13,0
B00021,-16.25561,26.89594,2016-10-14,0
B00021,-16.25561,26.89594,2016-10-15,4.318
