uuid,lat,lon,date,season,pl
e9f45870-f9a5-49e6-8f6c-1027a5b84b2d,-16.956,27.043,2016-11-21,2,0
e9f45870-f9a5-49e6-8f6c-1027a5b84b2d,-16.956,27.043,2016-11-28,2,0
e9f45870-f9a5-49e6-8f6c-1027a5b84b2d,-16.956,27.043,2016-12-05,2,1
e9f45870-f9a5-49e6-8f6c-1027a5b84b2d,-16.956,27.043,2016-12-12,2,1
e9f45870-f9a5-49e6-8f6c-1027a5b84b2d,-16.956,27.043,2016-12-19,2,1
e9f45870-f9a5-49e6-8f6c-1027a5b84b2d,-16.956,27.043,2017-01-02,2,1
e9f45870-f9a5-49e6-8f6c-1027a5b84b2d,-16.956,27.043,2017-01-09,2,1
e9f6b304-26d8-4af7-822c-1a85fa3eed46,-16.944,27.066,2016-10-17,2,0
e9f6b304-26d8-4af7-822c-1a85fa3eed46,-16.944,27.066,2016-10-24,2,0
e9f6b304-26d8-4af7-822c-1a85fa3eed46,-16.944,27.066,2016-10-31,2,0
e9f6b304-26d8-4af7-822c-1a85fa3eed46,-16.944,27.066,2016-11-07,2,0
e9f6b304-26d8-4af7-822c-1a85fa3eed46,-16.944,27.066,2016-11-14,2,0
e9f6b304-26d8-4af7-822c-1a85fa3eed46,-16.944,27.066,2016-11-21,2,0
e9f6b304-26d8-4af7-822c-1a85fa3eed46,-16.944,27.066,2016-11-28,2,0
e9f6b304-26d8-4af7-822c-1a85fa3eed46,-16.944,27.066,2016-12-05,2,1
e9f6b304-26d8-4af7-822c-1a85fa3eed46,-16.944,27.066,2016-12-19,2,1
e9f6b304-26d8-4af7-822c-1a85fa3eed46,-16.944,27.066,2016-12-26,2,1
e9f6b304-26d8-4af7-822c-1a85fa3eed46,-16.944,27.066,2017-01-02,2,1
e9f6b304-26d8-4af7-822c-1a85fa3eed46,-16.944,27.066,2017-01-16,2,1
e9f6b304-26d8-4af7-822c-1a85fa3eed46,-16.944,27.066,2017-01-23,2,0
e9f6b304-26d8-4af7-822c-1a85fa3eed46,-16.944,27.066,2017-01-30,2,1
eb3a46a8-2239-41d5-99a1-c3d2c242724a,-16.287,27.446,2016-10-17,2,0
eb3a46a8-2239-41d5-99a1-c3d2c242724a,-16.287,27.446,2016-10-24,2,0
eb3a46a8-2239-41d5-99a1-c3d2c242724a,-16.287,27.446,2016-10-31,2,0
eb3a46a8-2239-41d5-99a1-c3d2c242724a,-16.287,27.446,2016-11-07,2,0
eb3a46a8-2239-41d5-99a1-c3d2c242724a,-16.287,27.446,2016-11-14,2,0
eb3a46a8-2239-41d5-99a1-c3d2c242724a,-16.287,27.446,2016-11-21,2,0
eb3a46a8-2239-41d5-99a1-c3d2c242724a,-16.287,27.446,2016-11-28,2,0
eb3a46a8-2239-41d5-99a1-c3d2c242724a,-16.287,27.446,2016-12-05,2,1
eb3a46a8-2239-41d5-99a1-c3d2c242724a,-16.287,27.446,2016-12-12,2,1
eb3a46a8-2239-41d5-99a1-c3d2c242724a,-16.287,27.446,2016-12-19,2,1
eb3a46a8-2239-41d5-99a1-c3d2c242724a,-16.287,27.446,2016-12-26,2,1
eb3a46a8-2239-41d5-99a1-c3d2c242724a,-16.287,27.446,2017-01-02,2,1
eb3a46a8-2239-41d5-99a1-c3d2c242724a,-16.287,27.446,2017-01-09,2,1
ebd881fc-d1de-489a-91fa-a4bbe2b285ef,-16.803,27.31,2016-10-17,2,1
ebd881fc-d1de-489a-91fa-a4bbe2b285ef,-16.803,27.31,2016-10-24,2,0
ebd881fc-d1de-489a-91fa-a4bbe2b285ef,-16.803,27.31,2016-10-31,2,0
ebd881fc-d1de-489a-91fa-a4bbe2b285ef,-16.803,27.31,2016-11-07,2,0
