names,year,lat,lon,seed,plot,harv,pd1,pd2,pd3,pd4,pd5
10118012,16,-13.96,29.38,5,0.25,350,2015-12-24,,,,
10118012,17,-13.96,29.38,10,0.5,750,2016-12-05,,,,
10118013,16,-13.96,29.41,15,1.2,450,2015-11-02,,,,
10118014,16,-13.99,29.45,30,1,750,2015-11-08,2015-12-13,,,
10118014,17,-13.99,29.45,50,2,3500,2016-12-05,,,,
10118015,16,-13.96,29.42,10,0.4,350,2015-12-24,,,,
10118015,17,-13.96,29.42,10,0.5,400,2016-12-12,,,,
10118016,16,-13.57,29.9,5,0.25,50,2015-12-24,,,,
10118016,17,-13.57,29.9,30,1.5,10000,2016-12-01,,,,
10118017,16,-13.95,29.4,40,1.2,9350,2015-12-06,,,,
10118018,16,-13.96,29.42,15,0.6,2500,2015-11-08,,,,
10118018,17,-13.96,29.42,35,1.75,6000,2016-12-12,2016-12-12,2016-12-23,,
10118019,16,-14,29.45,10,0.5,1100,2015-11-02,,,,
10118019,17,-14,29.45,10,0.5,650,2016-12-12,2017-01-04,,,
10118020,16,-13.96,29.38,10,0.5,1250,2015-12-06,,,,
10118020,17,-13.96,29.38,30,1.5,1200,2016-11-02,2016-11-07,2016-12-23,2017-01-04,
10118021,16,-13.96,29.41,62.5,0.7,1200,2015-12-01,2015-12-13,,,
10118021,17,-13.96,29.41,20,1,1700,2016-11-24,2016-12-05,,,
10118022,16,-13.95,29.4,0,0,0,,,,,
10118023,16,-13.96,29.42,25,1,1500,2015-11-02,2015-11-24,,,
10118023,17,-13.96,29.42,15,0.75,900,2016-11-02,2016-11-14,,,
10118024,16,-13.96,29.38,0,0,0,,,,,
10118024,17,-13.96,29.38,0,0,0,,,,,
10118025,16,-14,29.45,10,1,750,2015-12-01,,,,
10118025,17,-14,29.45,15,0.75,1100,2016-11-07,2017-01-04,,,
10118026,16,-13.95,29.4,10,0.4,100,2015-12-01,,,,
10118026,17,-13.95,29.4,0,0,0,,,,,
10132001,16,-15.41,27.08,155,9.5,13500,2015-12-01,2015-12-06,2016-01-04,,
10132001,17,-15.41,27.08,250,12,23310,2016-12-01,2016-12-01,,,
10132002,16,-15.41,27.08,70,3.5,3000,2015-12-06,2015-12-24,,,
10132002,17,-15.41,27.08,100,5,6000,2016-12-01,2016-12-12,,,
10134001,16,-13.59,29.58,20,1,2150,2015-12-13,,,,
10134001,17,-13.59,29.58,30,2,2500,2016-11-14,2016-12-12,,,
10134002,16,-13.58,29.58,10,0.5,685,2015-12-24,,,,
10134002,17,-13.58,29.58,0,0,0,,,,,
10134003,16,-13.58,29.57,5,0.25,50,2015-12-24,,,,
10134003,17,-13.58,29.57,10,0.5,250,2016-12-01,,,,
